Stany magazynowe towarów: na dzień 2026-09-07, jednostka dodatkowa1	
Kod towaru		nazwa towaru		jm		stan	cena	wartość		
065S12/03 F/F black		Sklejka liściasta foliowana 6,5x1220x2440 F/F czarna		szt		0	0,00	0,00		
065S12/03 F/F green		Sklejka liściasta foliowana 6,5x1220x2440 F/F zielona		szt		0	0,00	0,00		
065S12/05 F/F		Sklejka liściasta foliowana 6,5x1250x2500 F/F		szt		520,8389	127,65	66484,77		
065S12/05 F/F black		Sklejka liściasta foliowana 6,5x1250x2500 F/F czarna		szt		642,5558	129,76	83380,49		
065S12/05 F/F green		Sklejka liściasta foliowana 6,5x1250x2500 F/F zielona		szt		0	0,00	0,00		
065S12/05 F/F grey		Sklejka liściasta foliowana 6,5x1250x2500 F/F szara		szt		355,937	123,86	44085,95		
065S12/05 F/F grey/d.br.		Sklejka liściasta foliowana 6,5x1250x2500 F/F szara/ciemny brąz		szt		162,4124	135,66	22033,37		
065S12/05 F/F grey/yell.		Sklejka liściasta foliowana 6,5x1250x2500 F/F szara/żółta		szt		0	0,00	0,00		
065S12/05 F/F l.grey		Sklejka liściasta foliowana 6,5x1250x2500 F/F jasno szara		szt		0	0,00	0,00		
065S12/05 F/F yell.		Sklejka liściasta foliowana 6,5x1250x2500 F/F żółta		szt		0	0,00	0,00		
065S12/05 M/F		Sklejka liściasta foliowana 6,5x1250x2500 biała/brązowa		szt		0	0,00	0,00		
065S12/05 M/M white		Sklejka liściasta foliowana 6,5x1250x2500 M/M		szt		88,0172	121,24	10671,10		
065S12/09 F/F		Sklejka liściasta foliowana 6,5x1525x2500 F/F		szt		0	0,00	0,00		
065S12/11 F/F		Sklejka liściasta foliowana 6,5x1525x3050 F/F		szt		48,0054	185,42	8901,22		
065S12/11 F/F grey		Sklejka liściasta foliowana 6,5x1525x3050 F/F szara		szt		0	0,00	0,00		
065S12/11 F/F grey / d.br.		Sklejka liściasta foliowana 6,5x1525x3050 F/F szara/ciemny brąz		szt		0	0,00	0,00		
065S12/11 F/F s.grey		Sklejka liściasta foliowana 6,5x1525x3050 F/F s.grey		szt		0	0,00	0,00		
065S12/12		Sklejka liściasta foliowana 6,5x1500x3000 F/F ciemny brąz		szt		0	0,00	0,00		
065S12/12 F/F		Sklejka liściasta foliowana 6,5x1500x3000 F/F		szt		216,9015	208,25	45169,13		
065S12/12 F/F black		Sklejka liściasta foliowana 6,5x1500x3000 F/F czarna		szt		0	0,00	0,00		
065S12/12 F/F grey		Sklejka liściasta foliowana 6,5x1500x3000 F/F szara		szt		0	0,00	0,00		
065S12/12 F/F grey/d.br.		Sklejka liściasta foliowana 6,5x1500x3000 F/F grey/d.brown		szt		409,0429	268,29	109742,04		
065S12/12 F/F l.br.		Sklejka liściasta foliowana 6,5x1500x3000 F/F jasny brąz		szt		0	0,00	0,00		
065S12/12 M/M		Sklejka liściasta foliowana 6,5x1500x3000 M/M		szt		16,9914	177,12	3009,54		
065S12/60 F/F		Sklejka liściasta foliowana 6,5x1250x2750mm		szt		0	0,00	0,00		
065S12/75 F/F grey		Sklejka liściasta foliowana 6,5x2150x4000 F/F szara		szt		0	0,00	0,00		
065S13/05 F/F		Sklejka liściasta foliowana 6,5x1250x2500 F/F		szt		134,0004	98,83	13243,73		
065S13/05 F/F black		Sklejka liściasta foliowana 6,5x1250x2500 F/F czarna		szt		10,8	97,07	1048,35		
065S13/05 F/F grey		Sklejka liściasta foliowana 6,5x1250x2500 F/F szara		szt		0	0,00	0,00		
065S13/05 F/F grey/d.br.		Sklejka liściasta foliowana 6,5x1250x2500 F/F szara/brązowa		szt		0	0,00	0,00		
065S13/05 F/F yell/d.br		Sklejka liściasta foliowana 6,5x1250x2500 F/F żółta/ciemny brąz		szt		0	0,00	0,00		
065S13/05 M/F white/d.br.		Sklejka liściasta foliowana 6,5x1250x2500 biała/brązowa		szt		0	0,00	0,00		
065S13/05 M/M		Sklejka liściasta foliowana 6,5x1250x2500 M/M		szt		55,9677	118,66	6640,92		
065S13/09 F/F l.br.		Sklejka liściasta foliowana 6,5x1525x2500 F/F jasny brąz		szt		0	0,00	0,00		
065S13/11 F/F		Sklejka liściasta foliowana 6,5x1525x3050 F/F		szt		274,9413	149,61	41132,69		
065S13/11 F/F grey		Sklejka liściasta foliowana 6,5x1525x3050 F/F grey		szt		89,955	150,09	13501,63		
065S13/11 F/F grey/d.br.		Sklejka liściasta foliowana 6,5x1525x3050 F/F szara/brąz		szt		69,9887	145,73	10199,64		
065S13/11 F/F l.br SRT		Sklejka liściasta foliowana 6,5x1525x3050 F/F jasny brąz		szt		0	0,00	0,00		
065S13/11 F/F l.br.		Sklejka liściasta foliowana 6,5x1525x3050 F/F jasny brąz		szt		0	0,00	0,00		
065S13/11 F/F light grey		Sklejka liściasta foliowana 6,5x1525x3050 F/F jasno szary		szt		0	0,00	0,00		
065S13/11 F/F s.grey SRT		Sklejka liściasta foliowana 6,5x1525x3050 F/F grey		szt		48,9855	93,89	4599,20		
065S13/11 M/M white		Sklejka liściasta melamina biała 6,5x1525x3050 M/M white		szt		25,0045	190,23	4756,71		
065S13/12 F/F		Sklejka liściasta foliowana 6,5x1500x3000 F/F		szt		152,0257	153,27	23301,59		
065S13/12 F/F grey		Sklejka liściasta foliowana 6,5x1500x3000 F/F szara		szt		0	0,00	0,00		
065S13/12 F/F grey/d.br		Sklejka liściasta foliowana 6,5x1525x3050 F/F grey/d.br		szt		0	0,00	0,00		
065S13/12 F/F l.br		Sklejka liściasta foliowana 6,5x1500x3000 F/F jasny brąz		szt		0	0,00	0,00		
065S13/29 F/F		Sklejka liściasta foliowana 6,5x1250x3050 F/F		szt		0	0,00	0,00		
065S13/57 F/F		Sklejka liściasta foliowana 6,5x2150x3340 F/F		szt		0	0,00	0,00		
065S13/60 F/F		Sklejka liściasta foliowana 6,5x1250x2750mm		szt		6,9816	107,87	753,07		
065S13/62 F/F		Sklejka liściasta foliowana 6,5x2150x3050 F/F ciemny brąz		szt		0	0,00	0,00		
065S14/03 F/W		Sklejka liściasta antypoślizgowa 6,5x1220x2440 F/W		szt		0	0,00	0,00		
065S14/03 F/W smooth black		Sklejka liściasta antypoślizgowa 6,5x1220x2440 F/W Smooth Mesh czarna		szt		0	0,00	0,00		
065S14/03 F/WH+ black		Sklejka liściasta antypoślizgowa 6,5x1220x2440 F/W heksa plus black		szt		394,3793	125,39	49450,69		
